qid,pred
0008-0,the last person is cutting the bottle with a knife while the other two are just opening the bottles
0008-1,he is cutting the bottle
0008-2,no
0008-3,yes
0008-7,C
0012-0,four
0012-1,four
0012-2,yes
0012-3,no
0012-7,C
0016-0,left
0016-1,right
0016-2,yes
0016-3,no
0016-7,C
0036-0,the blade is very sharp
0036-1,the blade is very sharp
0036-2,yes
0036-3,yes
0036-7,A
0037-0,two
0037-1,two
0037-2,yes
0037-3,yes
0037-7,D
0038-0,knife
0038-1,knife
0038-2,no
0038-3,yes
0038-7,A
0064-0,no electricity
0064-1,no light
0064-2,no
0064-3,yes
0064-7,D
0070-0,two
0070-1,two
0070-2,yes
0070-3,no
0070-7,D
0080-0,to make it bigger
0080-1,to make it pop
0080-2,yes
0080-3,yes
0080-7,A
0081-0,posing
0081-1,to hide his face
0081-2,yes
0081-3,yes
0081-7,D
0083-0,that she is a good daughter
0083-1,she is trying to convince her mother
0083-2,Yes
0083-3,Yes
0083-7,A
0099-0,two
0099-1,three
0099-2,Yes
0099-3,No
0099-7,A
0101-0,living room
0101-1,"cabinet, couch, behind cardboard box"
0101-2,yes
0101-3,no
0101-7,B
0113-0,two
0113-1,two
0113-2,yes
0113-3,No
0113-7,A
0117-0,two
0117-1,two
0117-2,yes
0117-3,no
0117-7,C
0118-0,push the bottle
0118-1,jump
0118-2,yes
0118-3,no
0118-7,D
0127-0,three
0127-1,three
0127-2,yes
0127-3,no
0127-7,C
0129-0,two
0129-1,two
0129-2,No.
0129-3,yes
0129-7,C
0133-0,people doing gymnastics
0133-1,two people doing gymnastics
0133-2,Yes
0133-3,"No, it is a demonstration of a pendulum."
0133-7,D
0142-0,to clean
0142-1,to clean
0142-2,to clean
0142-3,yes
0142-7,D
0146-0,three
0146-1,three
0146-2,yes
0146-3,yes
0146-7,A
0151-0,red sweater
0151-1,red sweater
0151-2,yes
0151-3,No
0151-7,B
0152-0,rubber band
0152-1,rubber band
0152-2,yes
0152-3,Yes
0152-7,B
0154-0,left
0154-1,left
0154-2,yes
0154-3,yes
0154-7,B
0162-0,three
0162-1,three
0162-2,no
0162-3,no
0162-7,A
0167-0,because the pencil is still there
0167-1,the pencil is not broken
0167-2,yes
0167-3,yes
0167-7,B
0169-0,three
0169-1,three
0169-2,yes
0169-3,yes
0169-7,A
0179-0,two
0179-1,two
0179-2,no
0179-3,no
0179-7,C
0198-0,six
0198-1,six
0198-2,No
0198-3,no
0198-7,B
0217-0,10 seconds
0217-1,10 minutes.
0217-2,"No, it did not."
0217-3,"No, it did not."
0217-7,B
0242-0,cat jump away because of the person's hand.
